1 30044 Dewey McClain dewey.mcclain@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/mcclain-dewey-845.jpg
2 30043 Gregg Kennard gregg.kennard@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/kennard-gregg-4950.jpg
3 30024 Matt Reeves matt.reeves@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/reeves-matt-5040.jpg
4 30349 Tish Naghise tish.naghise@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/naghise-tish-5032.jpg
5 30040 Carter Barrett carter.barrett@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/barrett-carter-5020.jpg
6 30127 David Wilkerson david.wilkerson@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/wilkerson-david-760.jpg
7 30052 Reynaldo Martinez reynaldo.martinez@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/martinez-reynaldo--rey--5045.jpg
8 30041 Lauren McDonald lauren.mcdonald@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/mcdonald-lauren-4992.jpg
9 30281 Regina Lewis-Ward regina.lewis-ward@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/lewis-ward-regina-5001.jpg
10 30096 Ruwa Romman ruwa.romman@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/romman-ruwa-5039.jpg
11 30047 Jasmine Clark jasmine.clark@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/clark-jasmine-4953.jpg
12 30135 Mandisha Thomas mandisha.thomas@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/thomas-mandisha-4996.jpg
13 30004 Jan Jones jan.jones@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/jones-jan-142.jpg
14 30022 Scott Hilton scott.hilton@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/hilton-scott-4899.jpg
15 30188 Brad Thomas brad.thomas@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/thomas-brad-4991.jpg
16 30062 Sharon Cooper sharon.cooper@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/cooper-sharon-86.jpg
17 30331 Sheila Jones sheila.jones@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/jones-sheila-143.jpg
18 30058 Karen Bennett karen.bennett@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/bennett-karen-810.jpg
19 30101 Ginny Ehrhart ginny.ehrhart@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/ehrhart-ginny-4937.jpg
20 30906 Lynn Gladney lynn.gladney@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/gladney-lynn-5048.jpg
21 30083 Viola Davis viola.davis@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/davis-viola-4947.jpg
22 31907 Debbie Buckner debbie.buckner@house.ga.gov https://www.legis.ga.gov/api/images/default-source/portraits/buckner-debbie-71.jpg
